source_mat_id_orig,samp_description,tax_id,scientific_name,investigation_type,env_material,samp_collect_device,deployment_date,collection_date,arms_unit_id,sampling_event,crate_cover,preservative,sampl_person,sampl_person_orcid,depth,rep_check,replicate,samp_fraction,size_filter,noteworthy_env_cond,samp_mat_process,samp_mat_process_dev,samp_store_date,samp_store_loc,samp_store_temp,store_person,store_person_orcid,other_person,other_person_orcid,images_in_PlutoF,long_store,ship_date,arr_date_hq,store_temp_hq,ship_date_seq,arr_date_seq,seq_batch,failure,failure_comment,ENA_accession_number_sample,source_mat_id
ARMS_Crete_2UBPC_20201120_20220901 MF 500um,EMOBON metagenome  sample from station HCMR-1. ARMS deployed on 2020-11-20 collected on 2022-09-01. Size fraction MF500um,256318,metagenome,metagenome,biomass derived from sieving motile communities present in the retrieval tub of an autonomous reef monitoring structure through a 500 micrometre mesh [ENVO:01001901],autonomous reef monitoring structure [ENVO:01001855],2020-11-20 00:00:00,2022-09-01 00:00:00,HCMR-1_2,HCMR-1_2UBPC_Ha_201120_220901,Yes,DESS,Thanos Dailianis,,21,,1,MF,500,,ARMS Handbook v3.0,,2022-09-01 00:00:00,,,,,,,Yes,No,2022-11-30 00:00:00,2022-12-07 00:00:00,-20,2023-07-18 00:00:00,2023-07-18 00:00:00,batch_3.2,,,,EMOBON_HCMR-1_Ha_11
ARMS_Crete_2UBPC_20201120_20220901 MF 90um,EMOBON metagenome  sample from station HCMR-1. ARMS deployed on 2020-11-20 collected on 2022-09-01. Size fraction MF90um,256318,metagenome,metagenome,sieved biomass derived from motile communities present in the retrieval tub of an autonomous reef monitoring structure [ENVO:01001892],autonomous reef monitoring structure [ENVO:01001855],2020-11-20 00:00:00,2022-09-01 00:00:00,HCMR-1_2,HCMR-1_2UBPC_Ha_201120_220901,Yes,DESS,Thanos Dailianis,,21,,1,MF,90,,ARMS Handbook v3.0,,2022-09-01 00:00:00,,,,,,,Yes,No,2022-11-30 00:00:00,2022-12-07 00:00:00,-20,2023-07-18 00:00:00,2023-07-18 00:00:00,batch_3.2,,,,EMOBON_HCMR-1_Ha_12
EMOBON_HCMR-1_Ha_1_220901_230921_SF_(1),EMOBON metagenome  sample from station HCMR-1. ARMS deployed on 2022-09-01 collected on 2023-09-21. Size fraction SFum,256318,metagenome,metagenome,blended biomass derived from sessile communities colonising an autonomous reef monitoring structure [ENVO:01001863],autonomous reef monitoring structure [ENVO:01001855],2022-09-01 00:00:00,2023-09-21 00:00:00,HCMR-1_1,EMOBON_HCMR-1_Ha_1_220901_230921,Yes,DESS,Thanos Dailianis,,21,,1,SF,,,ARMS Handbook v3.1,,2023-09-21 00:00:00,"HCMR, basement, freezer  ",-20,Emmanouela Vernadou,,,,Yes,No,2025-02-17 00:00:00,2025-02-17 00:00:00,-20,2025-05-19 00:00:00,2025-05-21 00:00:00,batch_6,,,,EMOBON_HCMR-1_Ha_13
EMOBON_HCMR-1_Ha_1_220901_230921_SF_(2),EMOBON metagenome  sample from station HCMR-1. ARMS deployed on 2022-09-01 collected on 2023-09-21. Size fraction SFum,256318,metagenome,metagenome,blended biomass derived from sessile communities colonising an autonomous reef monitoring structure [ENVO:01001863],autonomous reef monitoring structure [ENVO:01001855],2022-09-01 00:00:00,2023-09-21 00:00:00,HCMR-1_1,EMOBON_HCMR-1_Ha_1_220901_230921,Yes,DESS,Thanos Dailianis,,21,,2,SF,,,ARMS Handbook v3.1,,2023-09-21 00:00:00,"HCMR, basement, freezer  ",-20,Emmanouela Vernadou,,,,Yes,No,2025-02-17 00:00:00,2025-02-17 00:00:00,-20,NA,NA,NA,NA,not sequenced due to low budget; to be returned in person,,EMOBON_HCMR-1_Ha_14
EMOBON_HCMR-1_Ha_1_220901_230921_MF05_(1),EMOBON metagenome  sample from station HCMR-1. ARMS deployed on 2022-09-01 collected on 2023-09-21. Size fraction MF500um,256318,metagenome,metagenome,biomass derived from sieving motile communities present in the retrieval tub of an autonomous reef monitoring structure through a 500 micrometre mesh [ENVO:01001901],autonomous reef monitoring structure [ENVO:01001855],2022-09-01 00:00:00,2023-09-21 00:00:00,HCMR-1_1,EMOBON_HCMR-1_Ha_1_220901_230921,Yes,DESS,Thanos Dailianis,,21,,1,MF,500,,ARMS Handbook v3.1,,2023-09-21 00:00:00,"HCMR, basement, freezer  ",-20,Emmanouela Vernadou,,,,Yes,No,2025-02-17 00:00:00,2025-02-17 00:00:00,-20,2025-05-19 00:00:00,2025-05-21 00:00:00,batch_6,,,,EMOBON_HCMR-1_Ha_15
EMOBON_HCMR-1_Ha_1_220901_230921_MF01_(1),EMOBON metagenome  sample from station HCMR-1. ARMS deployed on 2022-09-01 collected on 2023-09-21. Size fraction MF100um,256318,metagenome,metagenome,biomass derived from sieving motile communities present in the retrieval tub of an autonomous reef monitoring structure through a 100 micrometre mesh [ENVO:01001900],autonomous reef monitoring structure [ENVO:01001855],2022-09-01 00:00:00,2023-09-21 00:00:00,HCMR-1_1,EMOBON_HCMR-1_Ha_1_220901_230921,Yes,DESS,Thanos Dailianis,,21,,1,MF,100,,ARMS Handbook v3.1,,2023-09-21 00:00:00,"HCMR, basement, freezer  ",-20,Emmanouela Vernadou,,,,Yes,No,2025-02-17 00:00:00,2025-02-17 00:00:00,-20,2025-05-19 00:00:00,2025-05-21 00:00:00,batch_6,,,,EMOBON_HCMR-1_Ha_16
EMOBON_HCMR-1_Ha_1_220901_230921_SF_(3),EMOBON metagenome  sample from station HCMR-1. ARMS deployed on 2022-09-01 collected on 2023-09-21. Size fraction SFum,256318,metagenome,metagenome,blended biomass derived from sessile communities colonising an autonomous reef monitoring structure [ENVO:01001863],autonomous reef monitoring structure [ENVO:01001855],2022-09-01 00:00:00,2023-09-21 00:00:00,HCMR-1_1,EMOBON_HCMR-1_Ha_1_220901_230921,Yes,DESS,Thanos Dailianis,,21,,3,SF,,,ARMS Handbook v3.1,,2023-09-21 00:00:00,"HCMR, basement, freezer  ",-20,Emmanouela Vernadou,,,,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,NA,,EMOBON_HCMR-1_Ha_17
EMOBON_HCMR-1_Ha_1_220901_230921_MF05_(2),EMOBON metagenome  sample from station HCMR-1. ARMS deployed on 2022-09-01 collected on 2023-09-21. Size fraction MF500um,256318,metagenome,metagenome,biomass derived from sieving motile communities present in the retrieval tub of an autonomous reef monitoring structure through a 500 micrometre mesh [ENVO:01001901],autonomous reef monitoring structure [ENVO:01001855],2022-09-01 00:00:00,2023-09-21 00:00:00,HCMR-1_1,EMOBON_HCMR-1_Ha_1_220901_230921,Yes,DESS,Thanos Dailianis,,21,,2,MF,500,,ARMS Handbook v3.1,,2023-09-21 00:00:00,"HCMR, basement, freezer  ",-20,Emmanouela Vernadou,,,,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,NA,,EMOBON_HCMR-1_Ha_18
EMOBON_HCMR-1_Ha_1_220901_230921_MF01_(2),EMOBON metagenome  sample from station HCMR-1. ARMS deployed on 2022-09-01 collected on 2023-09-21. Size fraction MF100um,256318,metagenome,metagenome,biomass derived from sieving motile communities present in the retrieval tub of an autonomous reef monitoring structure through a 100 micrometre mesh [ENVO:01001900],autonomous reef monitoring structure [ENVO:01001855],2022-09-01 00:00:00,2023-09-21 00:00:00,HCMR-1_1,EMOBON_HCMR-1_Ha_1_220901_230921,Yes,DESS,Thanos Dailianis,,21,,2,MF,100,,ARMS Handbook v3.1,,2023-09-21 00:00:00,"HCMR, basement, freezer  ",-20,Emmanouela Vernadou,,,,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,NA,,EMOBON_HCMR-1_Ha_19
EMOBON_HCMR-1_Ha_1_220901_230921_MF2_(1),EMOBON metagenome  sample from station HCMR-1. ARMS deployed on 2022-09-01 collected on 2023-09-21. Size fraction MF2um,256318,metagenome,metagenome,sieved biomass derived from motile communities present in the retrieval tub of an autonomous reef monitoring structure [ENVO:01001892],autonomous reef monitoring structure [ENVO:01001855],2022-09-01 00:00:00,2023-09-21 00:00:00,HCMR-1_1,EMOBON_HCMR-1_Ha_1_220901_230921,Yes,DESS,Thanos Dailianis,,21,,1,MF,2,,ARMS Handbook v3.1,,2023-09-21 00:00:00,"HCMR, basement, freezer  ",-20,Emmanouela Vernadou,,,,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,NA,,EMOBON_HCMR-1_Ha_20
EMOBON_HCMR-1_Ha_2_220901_230921_MF05_(1),EMOBON metagenome  sample from station HCMR-1. ARMS deployed on 2022-09-01 collected on 2023-09-21. Size fraction MF500um,256318,metagenome,metagenome,biomass derived from sieving motile communities present in the retrieval tub of an autonomous reef monitoring structure through a 500 micrometre mesh [ENVO:01001901],autonomous reef monitoring structure [ENVO:01001855],2022-09-01 00:00:00,2023-09-21 00:00:00,HCMR-1_2,EMOBON_HCMR-1_Ha_2_220901_230921,Yes,DESS,Thanos Dailianis,,21,,1,MF,500,,ARMS Handbook v3.1,,2023-09-21 00:00:00,"HCMR, basement, freezer  ",-20,Emmanouela Vernadou,,,,Yes,No,2025-02-17 00:00:00,2025-02-17 00:00:00,-20,2025-05-19 00:00:00,2025-05-21 00:00:00,batch_6,,,,EMOBON_HCMR-1_Ha_21
EMOBON_HCMR-1_Ha_2_220901_230921_MF05_(2),EMOBON metagenome  sample from station HCMR-1. ARMS deployed on 2022-09-01 collected on 2023-09-21. Size fraction MF500um,256318,metagenome,metagenome,biomass derived from sieving motile communities present in the retrieval tub of an autonomous reef monitoring structure through a 500 micrometre mesh [ENVO:01001901],autonomous reef monitoring structure [ENVO:01001855],2022-09-01 00:00:00,2023-09-21 00:00:00,HCMR-1_2,EMOBON_HCMR-1_Ha_2_220901_230921,Yes,DESS,Thanos Dailianis,,21,,2,MF,500,,ARMS Handbook v3.1,,2023-09-21 00:00:00,"HCMR, basement, freezer  ",-20,Emmanouela Vernadou,,,,Yes,No,2025-02-17 00:00:00,2025-02-17 00:00:00,-20,NA,NA,NA,NA,not sequenced due to low budget; to be returned in person,,EMOBON_HCMR-1_Ha_22
EMOBON_HCMR-1_Ha_2_220901_230921_SF_(1),EMOBON metagenome  sample from station HCMR-1. ARMS deployed on 2022-09-01 collected on 2023-09-21. Size fraction SFum,256318,metagenome,metagenome,blended biomass derived from sessile communities colonising an autonomous reef monitoring structure [ENVO:01001863],autonomous reef monitoring structure [ENVO:01001855],2022-09-01 00:00:00,2023-09-21 00:00:00,HCMR-1_2,EMOBON_HCMR-1_Ha_2_220901_230921,Yes,DESS,Thanos Dailianis,,21,,1,SF,,,ARMS Handbook v3.1,,2023-09-21 00:00:00,"HCMR, basement, freezer  ",-20,Emmanouela Vernadou,,,,Yes,No,2025-02-17 00:00:00,2025-02-17 00:00:00,-20,2025-05-19 00:00:00,2025-05-21 00:00:00,batch_6,,,,EMOBON_HCMR-1_Ha_23
EMOBON_HCMR-1_Ha_2_220901_230921_SF_(2),EMOBON metagenome  sample from station HCMR-1. ARMS deployed on 2022-09-01 collected on 2023-09-21. Size fraction SFum,256318,metagenome,metagenome,blended biomass derived from sessile communities colonising an autonomous reef monitoring structure [ENVO:01001863],autonomous reef monitoring structure [ENVO:01001855],2022-09-01 00:00:00,2023-09-21 00:00:00,HCMR-1_2,EMOBON_HCMR-1_Ha_2_220901_230921,Yes,DESS,Thanos Dailianis,,21,,2,SF,,,ARMS Handbook v3.1,,2023-09-21 00:00:00,"HCMR, basement, freezer  ",-20,Emmanouela Vernadou,,,,Yes,No,2025-02-17 00:00:00,2025-02-17 00:00:00,-20,NA,NA,NA,NA,not sequenced due to low budget; to be returned in person,,EMOBON_HCMR-1_Ha_24
EMOBON_HCMR-1_Ha_2_220901_230921_MF01_(1),EMOBON metagenome  sample from station HCMR-1. ARMS deployed on 2022-09-01 collected on 2023-09-21. Size fraction MF100um,256318,metagenome,metagenome,biomass derived from sieving motile communities present in the retrieval tub of an autonomous reef monitoring structure through a 100 micrometre mesh [ENVO:01001900],autonomous reef monitoring structure [ENVO:01001855],2022-09-01 00:00:00,2023-09-21 00:00:00,HCMR-1_2,EMOBON_HCMR-1_Ha_2_220901_230921,Yes,DESS,Thanos Dailianis,,21,,1,MF,100,,ARMS Handbook v3.1,,2023-09-21 00:00:00,"HCMR, basement, freezer  ",-20,Emmanouela Vernadou,,,,Yes,No,2025-02-17 00:00:00,2025-02-17 00:00:00,-20,2025-05-19 00:00:00,2025-05-21 00:00:00,batch_6,,,,EMOBON_HCMR-1_Ha_25
EMOBON_HCMR-1_Ha_2_220901_230921_Blank,EMOBON metagenome  sample from station HCMR-1. ARMS deployed on 2022-09-01 collected on 2023-09-21. Size fraction blankum,256318,metagenome,metagenome,cotton swab [OBI:0002821],autonomous reef monitoring structure [ENVO:01001855],2022-09-01 00:00:00,2023-09-21 00:00:00,HCMR-1_2,EMOBON_HCMR-1_Ha_2_220901_230921,Yes,DESS,Thanos Dailianis,,21,,blank_1,blank,,,ARMS Handbook v3.1,,2023-09-21 00:00:00,"HCMR, basement, freezer  ",-20,Emmanouela Vernadou,,,,Yes,No,2025-02-17 00:00:00,2025-02-17 00:00:00,-20,2025-05-19 00:00:00,2025-05-21 00:00:00,batch_6,,,,EMOBON_HCMR-1_Ha_26
EMOBON_HCMR-1_Ha_2_220901_230921_SF_(3),EMOBON metagenome  sample from station HCMR-1. ARMS deployed on 2022-09-01 collected on 2023-09-21. Size fraction SFum,256318,metagenome,metagenome,blended biomass derived from sessile communities colonising an autonomous reef monitoring structure [ENVO:01001863],autonomous reef monitoring structure [ENVO:01001855],2022-09-01 00:00:00,2023-09-21 00:00:00,HCMR-1_2,EMOBON_HCMR-1_Ha_2_220901_230921,Yes,DESS,Thanos Dailianis,,21,,3,SF,,,ARMS Handbook v3.1,,2023-09-21 00:00:00,"HCMR, basement, freezer  ",-20,Emmanouela Vernadou,,,,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,NA,,EMOBON_HCMR-1_Ha_27
EMOBON_HCMR-1_Ha_2_220901_230921_MF2_(1),EMOBON metagenome  sample from station HCMR-1. ARMS deployed on 2022-09-01 collected on 2023-09-21. Size fraction MF2um,256318,metagenome,metagenome,sieved biomass derived from motile communities present in the retrieval tub of an autonomous reef monitoring structure [ENVO:01001892],autonomous reef monitoring structure [ENVO:01001855],2022-09-01 00:00:00,2023-09-21 00:00:00,HCMR-1_2,EMOBON_HCMR-1_Ha_2_220901_230921,Yes,DESS,Thanos Dailianis,,21,,1,MF,2,,ARMS Handbook v3.1,,2023-09-21 00:00:00,"HCMR, basement, freezer  ",-20,Emmanouela Vernadou,,,,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,NA,,EMOBON_HCMR-1_Ha_28
EMOBON_HCMR-1_Ha_2_220901_230921_MF01_(2),EMOBON metagenome  sample from station HCMR-1. ARMS deployed on 2022-09-01 collected on 2023-09-21. Size fraction MF100um,256318,metagenome,metagenome,biomass derived from sieving motile communities present in the retrieval tub of an autonomous reef monitoring structure through a 100 micrometre mesh [ENVO:01001900],autonomous reef monitoring structure [ENVO:01001855],2022-09-01 00:00:00,2023-09-21 00:00:00,HCMR-1_2,EMOBON_HCMR-1_Ha_2_220901_230921,Yes,DESS,Thanos Dailianis,,21,,2,MF,100,,ARMS Handbook v3.1,,2023-09-21 00:00:00,"HCMR, basement, freezer  ",-20,Emmanouela Vernadou,,,,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,NA,,EMOBON_HCMR-1_Ha_29
EMOBON_HCMR-1_Ha_2_220901_230921_MF05_(3),EMOBON metagenome  sample from station HCMR-1. ARMS deployed on 2022-09-01 collected on 2023-09-21. Size fraction MF500um,256318,metagenome,metagenome,biomass derived from sieving motile communities present in the retrieval tub of an autonomous reef monitoring structure through a 500 micrometre mesh [ENVO:01001901],autonomous reef monitoring structure [ENVO:01001855],2022-09-01 00:00:00,2023-09-21 00:00:00,HCMR-1_2,EMOBON_HCMR-1_Ha_2_220901_230921,Yes,DESS,Thanos Dailianis,,21,,3,MF,500,,ARMS Handbook v3.1,,2023-09-21 00:00:00,"HCMR, basement, freezer  ",-20,Emmanouela Vernadou,,,,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,NA,,EMOBON_HCMR-1_Ha_30
EMOBON_HCMR-1_Ha_3_220901_230921_MF05_(1),EMOBON metagenome  sample from station HCMR-1. ARMS deployed on 2022-09-01 collected on 2023-09-21. Size fraction MF500um,256318,metagenome,metagenome,biomass derived from sieving motile communities present in the retrieval tub of an autonomous reef monitoring structure through a 500 micrometre mesh [ENVO:01001901],autonomous reef monitoring structure [ENVO:01001855],2022-09-01 00:00:00,2023-09-21 00:00:00,HCMR-1_3,EMOBON_HCMR-1_Ha_3_220901_230921,Yes,DESS,Thanos Dailianis,,21,,1,MF,500,,ARMS Handbook v3.1,,2023-09-21 00:00:00,"HCMR, basement, freezer  ",-20,Emmanouela Vernadou,,,,Yes,No,2025-02-17 00:00:00,2025-02-17 00:00:00,-20,2025-05-19 00:00:00,2025-05-21 00:00:00,batch_6,,,,EMOBON_HCMR-1_Ha_31
EMOBON_HCMR-1_Ha_3_220901_230921_MF01_(1),EMOBON metagenome  sample from station HCMR-1. ARMS deployed on 2022-09-01 collected on 2023-09-21. Size fraction MF100um,256318,metagenome,metagenome,biomass derived from sieving motile communities present in the retrieval tub of an autonomous reef monitoring structure through a 100 micrometre mesh [ENVO:01001900],autonomous reef monitoring structure [ENVO:01001855],2022-09-01 00:00:00,2023-09-21 00:00:00,HCMR-1_3,EMOBON_HCMR-1_Ha_3_220901_230921,Yes,DESS,Thanos Dailianis,,21,,1,MF,100,,ARMS Handbook v3.1,,2023-09-21 00:00:00,"HCMR, basement, freezer  ",-20,Emmanouela Vernadou,,,,Yes,No,2025-02-17 00:00:00,2025-02-17 00:00:00,-20,2025-05-19 00:00:00,2025-05-21 00:00:00,batch_6,,,,EMOBON_HCMR-1_Ha_32
EMOBON_HCMR-1_Ha_3_220901_230921_SF_(1),EMOBON metagenome  sample from station HCMR-1. ARMS deployed on 2022-09-01 collected on 2023-09-21. Size fraction SFum,256318,metagenome,metagenome,blended biomass derived from sessile communities colonising an autonomous reef monitoring structure [ENVO:01001863],autonomous reef monitoring structure [ENVO:01001855],2022-09-01 00:00:00,2023-09-21 00:00:00,HCMR-1_3,EMOBON_HCMR-1_Ha_3_220901_230921,Yes,DESS,Thanos Dailianis,,21,,1,SF,,,ARMS Handbook v3.1,,2023-09-21 00:00:00,"HCMR, basement, freezer  ",-20,Emmanouela Vernadou,,,,Yes,No,2025-02-17 00:00:00,2025-02-17 00:00:00,-20,2025-05-19 00:00:00,2025-05-21 00:00:00,batch_6,,,,EMOBON_HCMR-1_Ha_33
EMOBON_HCMR-1_Ha_3_220901_230921_SF_(2),EMOBON metagenome  sample from station HCMR-1. ARMS deployed on 2022-09-01 collected on 2023-09-21. Size fraction SFum,256318,metagenome,metagenome,blended biomass derived from sessile communities colonising an autonomous reef monitoring structure [ENVO:01001863],autonomous reef monitoring structure [ENVO:01001855],2022-09-01 00:00:00,2023-09-21 00:00:00,HCMR-1_3,EMOBON_HCMR-1_Ha_3_220901_230921,Yes,DESS,Thanos Dailianis,,21,,2,SF,,,ARMS Handbook v3.1,,2023-09-21 00:00:00,"HCMR, basement, freezer  ",-20,Emmanouela Vernadou,,,,Yes,No,2025-02-17 00:00:00,2025-02-17 00:00:00,-20,NA,NA,NA,NA,not sequenced due to low budget; to be returned in person,,EMOBON_HCMR-1_Ha_34
EMOBON_HCMR-1_Ha_3_220901_230921_Blank,EMOBON metagenome  sample from station HCMR-1. ARMS deployed on 2022-09-01 collected on 2023-09-21. Size fraction blankum,256318,metagenome,metagenome,cotton swab [OBI:0002821],autonomous reef monitoring structure [ENVO:01001855],2022-09-01 00:00:00,2023-09-21 00:00:00,HCMR-1_3,EMOBON_HCMR-1_Ha_3_220901_230921,Yes,DESS,Thanos Dailianis,,21,,blank_1,blank,,,ARMS Handbook v3.1,,2023-09-21 00:00:00,"HCMR, basement, freezer  ",-20,Emmanouela Vernadou,,,,Yes,No,2025-02-17 00:00:00,2025-02-17 00:00:00,-20,NA,NA,NA,NA,not sequenced due to low budget; to be returned in person,,EMOBON_HCMR-1_Ha_35
EMOBON_HCMR-1_Ha_3_220901_230921_SF_(3),EMOBON metagenome  sample from station HCMR-1. ARMS deployed on 2022-09-01 collected on 2023-09-21. Size fraction SFum,256318,metagenome,metagenome,blended biomass derived from sessile communities colonising an autonomous reef monitoring structure [ENVO:01001863],autonomous reef monitoring structure [ENVO:01001855],2022-09-01 00:00:00,2023-09-21 00:00:00,HCMR-1_3,EMOBON_HCMR-1_Ha_3_220901_230921,Yes,DESS,Thanos Dailianis,,21,,3,SF,,,ARMS Handbook v3.1,,2023-09-21 00:00:00,"HCMR, basement, freezer  ",-20,Emmanouela Vernadou,,,,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,NA,,EMOBON_HCMR-1_Ha_36
EMOBON_HCMR-1_Ha_3_220901_230921_MF05_(2),EMOBON metagenome  sample from station HCMR-1. ARMS deployed on 2022-09-01 collected on 2023-09-21. Size fraction MF500um,256318,metagenome,metagenome,biomass derived from sieving motile communities present in the retrieval tub of an autonomous reef monitoring structure through a 500 micrometre mesh [ENVO:01001901],autonomous reef monitoring structure [ENVO:01001855],2022-09-01 00:00:00,2023-09-21 00:00:00,HCMR-1_3,EMOBON_HCMR-1_Ha_3_220901_230921,Yes,DESS,Thanos Dailianis,,21,,2,MF,500,,ARMS Handbook v3.1,,2023-09-21 00:00:00,"HCMR, basement, freezer  ",-20,Emmanouela Vernadou,,,,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,NA,,EMOBON_HCMR-1_Ha_37
EMOBON_HCMR-1_Ha_3_220901_230921_MF2_(1),EMOBON metagenome  sample from station HCMR-1. ARMS deployed on 2022-09-01 collected on 2023-09-21. Size fraction MF2um,256318,metagenome,metagenome,sieved biomass derived from motile communities present in the retrieval tub of an autonomous reef monitoring structure [ENVO:01001892],autonomous reef monitoring structure [ENVO:01001855],2022-09-01 00:00:00,2023-09-21 00:00:00,HCMR-1_3,EMOBON_HCMR-1_Ha_3_220901_230921,Yes,DESS,Thanos Dailianis,,21,,1,MF,2,,ARMS Handbook v3.1,,2023-09-21 00:00:00,"HCMR, basement, freezer  ",-20,Emmanouela Vernadou,,,,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,NA,,EMOBON_HCMR-1_Ha_38
EMOBON_HCMR-1_Ha_3_220901_230921_MF01_(2),EMOBON metagenome  sample from station HCMR-1. ARMS deployed on 2022-09-01 collected on 2023-09-21. Size fraction MF100um,256318,metagenome,metagenome,biomass derived from sieving motile communities present in the retrieval tub of an autonomous reef monitoring structure through a 100 micrometre mesh [ENVO:01001900],autonomous reef monitoring structure [ENVO:01001855],2022-09-01 00:00:00,2023-09-21 00:00:00,HCMR-1_3,EMOBON_HCMR-1_Ha_3_220901_230921,Yes,DESS,Thanos Dailianis,,21,,2,MF,100,,ARMS Handbook v3.1,,2023-09-21 00:00:00,"HCMR, basement, freezer  ",-20,Emmanouela Vernadou,,,,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,NA,,EMOBON_HCMR-1_Ha_39
EMOBON_HCMR-2_3_Ha_221117_231121_SF45_1,EMOBON metagenome  sample from station HCMR-1. ARMS deployed on 2022-11-17 collected on 2023-11-21. Size fraction SF45um,256318,metagenome,metagenome,blended biomass derived from sessile communities colonising an autonomous reef monitoring structure [ENVO:01001863],autonomous reef monitoring structure [ENVO:01001855],2022-11-17 00:00:00,2023-11-21 00:00:00,HCMR-2_3,EMOBON_HCMR-2_3_Ha_221117_231121,Yes,DESS,Thanos Dailianis,,4,,1,SF,45,,ARMS Handbook v3.1,,2023-11-21 00:00:00,"HCMR, basement, freezer  ",-20,Emmanouela Vernadou,,,,Yes,No,2025-02-17 00:00:00,2025-02-17 00:00:00,-20,2025-05-19 00:00:00,2025-05-21 00:00:00,batch_6,,,,EMOBON_HCMR-1_Ha_40
EMOBON_HCMR-2_3_Ha_221117_231121_SF45_2,EMOBON metagenome  sample from station HCMR-1. ARMS deployed on 2022-11-17 collected on 2023-11-21. Size fraction SF45um,256318,metagenome,metagenome,blended biomass derived from sessile communities colonising an autonomous reef monitoring structure [ENVO:01001863],autonomous reef monitoring structure [ENVO:01001855],2022-11-17 00:00:00,2023-11-21 00:00:00,HCMR-2_3,EMOBON_HCMR-2_3_Ha_221117_231121,Yes,DESS,Thanos Dailianis,,4,,2,SF,45,,ARMS Handbook v3.1,,2023-11-21 00:00:00,"HCMR, basement, freezer  ",-20,Emmanouela Vernadou,,,,Yes,No,2025-02-17 00:00:00,2025-02-17 00:00:00,-20,NA,NA,NA,NA,not sequenced due to low budget; to be returned in person,,EMOBON_HCMR-1_Ha_41
EMOBON_HCMR-2_3_Ha_221117_231121_MF500_1,EMOBON metagenome  sample from station HCMR-1. ARMS deployed on 2022-11-17 collected on 2023-11-21. Size fraction MF500um,256318,metagenome,metagenome,biomass derived from sieving motile communities present in the retrieval tub of an autonomous reef monitoring structure through a 500 micrometre mesh [ENVO:01001901],autonomous reef monitoring structure [ENVO:01001855],2022-11-17 00:00:00,2023-11-21 00:00:00,HCMR-2_3,EMOBON_HCMR-2_3_Ha_221117_231121,Yes,DESS,Thanos Dailianis,,4,,1,MF,500,,ARMS Handbook v3.1,,2023-11-21 00:00:00,"HCMR, basement, freezer  ",-20,Emmanouela Vernadou,,,,Yes,No,2025-02-17 00:00:00,2025-02-17 00:00:00,-20,2025-05-19 00:00:00,2025-05-21 00:00:00,batch_6,,,,EMOBON_HCMR-1_Ha_42
EMOBON_HCMR-2_3_Ha_221117_231121_MF500_2,EMOBON metagenome  sample from station HCMR-1. ARMS deployed on 2022-11-17 collected on 2023-11-21. Size fraction MF500um,256318,metagenome,metagenome,biomass derived from sieving motile communities present in the retrieval tub of an autonomous reef monitoring structure through a 500 micrometre mesh [ENVO:01001901],autonomous reef monitoring structure [ENVO:01001855],2022-11-17 00:00:00,2023-11-21 00:00:00,HCMR-2_3,EMOBON_HCMR-2_3_Ha_221117_231121,Yes,DESS,Thanos Dailianis,,4,,2,MF,500,,ARMS Handbook v3.1,,2023-11-21 00:00:00,"HCMR, basement, freezer  ",-20,Emmanouela Vernadou,,,,Yes,No,2025-02-17 00:00:00,2025-02-17 00:00:00,-20,NA,NA,NA,NA,not sequenced due to low budget; to be returned in person,,EMOBON_HCMR-1_Ha_43
EMOBON_HCMR-2_3_Ha_221117_231121_MF90_1,EMOBON metagenome  sample from station HCMR-1. ARMS deployed on 2022-11-17 collected on 2023-11-21. Size fraction MF90um,256318,metagenome,metagenome,sieved biomass derived from motile communities present in the retrieval tub of an autonomous reef monitoring structure [ENVO:01001892],autonomous reef monitoring structure [ENVO:01001855],2022-11-17 00:00:00,2023-11-21 00:00:00,HCMR-2_3,EMOBON_HCMR-2_3_Ha_221117_231121,Yes,DESS,Thanos Dailianis,,4,,1,MF,90,,ARMS Handbook v3.1,,2023-11-21 00:00:00,"HCMR, basement, freezer  ",-20,Emmanouela Vernadou,,,,Yes,No,2025-02-17 00:00:00,2025-02-17 00:00:00,-20,2025-05-19 00:00:00,2025-05-21 00:00:00,batch_6,,,,EMOBON_HCMR-1_Ha_44
